Customer_ID,Name,Age,Gender,City,Signup_Date
CUST0075,Customer 75,60,Female,Hyderabad,2024-09-28
CUST0076,Customer 76,43,Male,Chennai,2025-04-13
CUST0077,Customer 77,38,Male,Delhi,2025-04-14
CUST0078,Customer 78,57,Male,Mumbai,2025-07-04
CUST0079,Customer 79,31,Female,Bengaluru,2024-12-23
CUST0080,Customer 80,22,Male,Pune,2024-10-18
CUST0081,Customer 81,28,Female,Kolkata,2024-11-05
CUST0082,Customer 82,57,Male,Kolkata,2024-11-02
CUST0083,Customer 83,60,Male,Bengaluru,2024-09-27
CUST0084,Customer 84,25,Male,Kolkata,2024-06-08
CUST0085,Customer 85,35,Female,Lucknow,2024-08-03
CUST0086,Customer 86,39,Male,Chennai,2025-06-01
CUST0087,Customer 87,49,Female,Delhi,2024-04-04
CUST0088,Customer 88,58,Female,Chennai,2024-02-15
CUST0089,Customer 89,18,Female,Bengaluru,2024-09-25
CUST0090,Customer 90,28,Female,Kolkata,2025-03-13
CUST0091,Customer 91,53,Male,Mumbai,2024-03-18
CUST0092,Customer 92,27,Male,Pune,2025-08-19
CUST0093,Customer 93,53,Male,Jaipur,2024-05-10
CUST0094,Customer 94,20,Female,Pune,2024-02-10
CUST0095,Customer 95,40,Male,Hyderabad,2024-04-15
CUST0096,Customer 96,40,Female,Lucknow,2024-06-07
CUST0097,Customer 97,33,Male,Bengaluru,2025-02-26
CUST0098,Customer 98,19,Male,Pune,2025-02-25
CUST0099,Customer 99,60,Male,Chennai,2024-06-12
CUST0100,Customer 100,24,Female,Delhi,2025-04-26
